Time,Data
20020612,13.6
20020613,13.9
20020614,14.3
20020615,13.9
20020616,14.4
20020617,14.3
20020618,14.0
20020619,14.2
20020620,13.8
20020621,14.4
20020622,13.7
20020623,14.0
20020624,13.7
20020625,13.3
20020626,13.6
20020627,14.3
20020628,13.6
20020629,14.7
20020630,14.4
20020701,14.3
20020702,14.4
20020703,14.3
20020704,13.2
20020705,14.2
20020706,13.9
20020707,14.8
20020708,14.5
20020709,15.0
20020710,14.7
20020711,14.7
20020712,14.5
20020713,14.3
20020714,14.8
20020715,14.4
20020716,15.2
20020717,14.6
20020718,14.9
20020719,14.3
20020720,13.8
20020721,14.2
20020722,14.0
20020723,14.7
20020724,14.4
20020725,14.2
20020726,14.4
20020727,14.8
20020728,14.3
20020729,14.4
20020730,14.3
20020731,14.2
20020801,14.5
20020802,15.1
20020803,14.5
20020804,14.4
20020805,15.1
20020806,15.3
20020807,14.1
20020808,14.4
20020809,14.7
20020810,14.6
20020811,15.1
20020812,14.7
20020813,14.5
20020814,14.8
20020815,15.2
20020816,14.9
20020817,14.4
20020818,14.9
20020819,15.1
20020820,15.0
20020821,15.1
20020822,14.8
20020823,14.8
20020824,14.8
20020825,14.8
20020826,14.1
20020827,14.3
20020828,14.1
20020829,14.3
20020830,14.3
20020831,14.5
20020901,14.9
20020902,14.8
20020903,14.6
20020904,14.6
20020905,14.8
20020906,14.5
20020907,14.4
20020908,14.1
20020909,14.0
20020910,14.2
20020911,13.9
20020912,13.6
20020913,13.5
20020914,13.0
20020915,13.6
20020916,13.9
20020917,14.0
20020918,14.2
20020919,13.5
20020920,13.9
20020921,14.3
20020922,13.3
20020923,13.5
20020924,13.8
20020925,14.4
20020926,14.6
20020927,14.4
20020928,14.5
20020929,14.4
20020930,14.6
20021001,14.5
20021002,14.4
20021003,14.4
20021004,14.6
20021005,15.0
20021006,14.8
20021007,14.2
20021008,14.7
20021009,15.2
20021010,15.1
20021011,14.5
20021012,14.9
20021013,14.7
20021014,15.0
20021015,14.9
20021016,15.0
20021017,15.0
20021018,15.3
20021019,14.7
20021020,14.9
20021021,14.7
20021022,14.2
20021023,14.7
20021024,14.1
20021025,14.6
20021026,15.1
20021027,14.6
20021028,14.5
20021029,14.3
20021030,14.7
20021031,14.4
20021101,14.4
20021102,14.7
20021103,14.3
20021104,14.4
20021105,14.7
20021106,14.7
20021107,14.1
20021108,14.5
20021109,14.7
20021110,14.8
20021111,14.7
20021112,14.9
20021113,14.6
20021114,14.8
20021115,14.6
20021116,14.5
20021117,14.2
20021118,14.1
20021119,14.5
20021120,14.7
20021121,14.5
20021122,14.5
20021123,14.4
20021124,14.3
20021125,14.3
20021126,14.4
20021127,14.5
20021128,14.4
20021129,14.4
20021130,14.0
20021201,14.3
20021202,14.4
20021203,14.2
20021204,14.0
20021205,13.6
20021206,14.1
20021207,14.0
20021208,13.8
20021209,13.8
20021210,13.8
20021211,13.6
20021212,13.8
20021213,14.0
20021214,14.1
20021215,14.2
20021216,13.9
20021217,14.3
20021218,13.8
20021219,13.8
20021220,13.9
20021221,13.9
20021222,13.7
20021223,13.6
20021224,13.6
20021225,13.7
20021226,13.4
20021227,13.6
20021228,13.4
20021229,13.2
20021230,13.0
20021231,13.2
20030101,13.8
20030102,13.6
20030103,13.5
20030104,13.7
20030105,13.4
20030106,13.8
20030107,13.7
20030108,13.8
20030109,13.5
20030110,13.6
20030111,13.1
20030112,13.5
20030113,13.5
20030114,13.8
20030115,13.5
20030116,13.3
20030117,13.8
20030118,13.6
20030119,13.6
20030120,14.0
20030121,13.8
20030122,13.8
20030123,13.4
20030124,13.3
20030125,13.7
20030126,13.3
20030127,13.7
20030128,13.9
20030129,13.9
20030130,13.8
20030131,13.5
20030201,14.0
