Time,Data
20030526,15.9
20030527,15.8
20030528,15.9
20030529,15.3
20030530,15.4
20030531,15.3
20030601,16.0
20030602,16.1
20030603,15.4
20030604,16.0
20030605,15.9
20030606,15.4
20030607,14.7
20030608,15.1
20030609,15.4
20030610,15.7
20030611,15.8
20030612,15.7
20030613,15.8
20030614,15.6
20030615,15.5
20030616,15.0
20030617,15.2
20030618,15.8
20030619,15.2
20030620,15.5
20030621,16.3
20030622,15.6
20030623,16.4
20030624,16.4
20030625,16.5
20030626,16.0
20030627,15.7
20030628,16.4
20030629,16.6
20030630,15.5
20030701,15.8
20030702,16.2
20030703,16.5
20030704,15.6
20030705,15.4
20030706,15.5
20030707,15.8
20030708,15.4
20030709,15.1
20030710,15.3
20030711,15.5
20030712,15.9
20030713,15.6
20030714,15.3
20030715,15.8
20030716,16.0
20030717,16.2
20030718,16.2
20030719,15.3
20030720,15.4
20030721,15.5
20030722,14.9
20030723,14.9
20030724,15.6
20030725,15.0
20030726,15.0
20030727,14.8
20030728,15.2
20030729,14.4
20030730,14.8
20030731,14.8
20030801,15.0
20030802,15.3
20030803,14.9
20030804,15.0
20030805,15.1
20030806,15.4
20030807,15.2
20030808,15.8
20030809,14.7
20030810,15.5
20030811,15.1
20030812,14.7
20030813,14.7
20030814,14.6
20030815,14.9
20030816,14.6
20030817,15.0
20030818,14.8
20030819,14.7
20030820,14.8
20030821,14.3
20030822,15.2
20030823,14.8
20030824,15.1
20030825,14.9
20030826,15.1
20030827,15.9
20030828,15.3
20030829,15.6
20030830,15.8
20030831,15.9
20030901,14.6
20030902,14.3
20030903,14.8
20030904,14.8
20030905,14.9
20030906,15.2
20030907,15.3
20030908,14.8
20030909,14.8
20030910,14.5
20030911,15.0
20030912,14.9
20030913,14.6
20030914,14.7
20030915,14.7
20030916,15.4
20030917,15.2
20030918,16.6
20030919,15.4
20030920,15.1
20030921,15.5
20030922,14.9
20030923,14.6
20030924,15.2
20030925,15.6
20030926,15.0
20030927,15.2
20030928,14.8
20030929,15.7
20030930,15.4
20031001,15.0
20031002,15.2
20031003,15.1
20031004,15.3
20031005,14.7
20031006,14.9
20031007,14.9
20031008,14.2
20031009,15.4
20031010,15.2
20031011,15.7
20031012,14.7
20031013,15.6
20031014,15.4
20031015,15.2
20031016,15.0
20031017,14.7
20031018,14.6
20031019,14.8
20031020,14.9
20031021,14.6
20031022,14.6
20031023,14.4
20031024,14.1
20031025,14.2
20031026,14.8
20031027,14.3
20031028,14.5
20031029,14.7
20031030,15.0
20031031,15.4
20031101,15.5
20031102,15.7
20031103,14.8
20031104,14.4
20031105,15.1
20031106,14.6
20031107,14.7
20031108,14.6
20031109,14.5
20031110,14.5
20031111,14.4
20031112,14.1
20031113,14.2
20031114,14.2
20031115,14.0
20031116,14.0
20031117,14.2
20031118,14.6
20031119,15.0
20031120,15.0
20031121,15.2
20031122,14.5
20031123,14.7
20031124,14.5
20031125,14.2
20031126,13.6
20031127,13.8
20031128,14.0
20031129,14.1
20031130,14.1
20031201,14.2
20031202,14.0
20031203,14.0
20031204,13.8
20031205,13.9
20031206,14.1
20031207,14.2
20031208,14.5
20031209,14.6
20031210,14.3
20031211,13.7
20031212,14.1
20031213,14.1
20031214,14.3
20031215,14.3
20031216,13.7
20031217,14.0
20031218,14.6
20031219,14.6
20031220,14.6
20031221,14.0
20031222,14.4
20031223,14.0
20031224,13.9
20031225,14.0
20031226,13.8
20031227,14.1
20031228,14.1
20031229,14.3
20031230,14.9
20031231,14.6
20040101,14.3
20040102,14.9
20040103,14.8
20040104,14.1
20040105,14.2
20040106,13.3
20040107,13.9
20040108,13.9
20040109,13.7
20040110,13.6
20040111,14.1
20040112,14.0
20040113,13.9
20040114,14.1
20040115,13.9
20040116,13.7
20040117,13.9
20040118,13.8
20040119,14.8
20040120,13.9
20040121,13.5
20040122,13.6
20040123,13.7
20040124,13.2
20040125,13.2
20040126,13.7
20040127,14.7
20040128,13.1
20040129,13.8
20040130,14.2
20040131,13.9
20040201,14.0
20040202,14.2
20040203,13.7
20040204,13.9
20040205,13.8
20040206,14.0
20040207,14.1
20040208,13.8
20040209,14.1
20040210,13.1
20040211,13.4
20040212,13.6
20040213,13.7
20040214,13.0
20040215,13.3
20040216,13.1
20040217,13.8
20040218,13.6
20040219,13.4
20040220,13.1
20040221,13.3
20040222,13.3
20040223,13.5
20040224,13.7
20040225,13.5
20040226,13.3
20040227,13.5
20040228,13.4
20040229,13.2
20040301,13.1
20040302,13.1
20040303,13.8
20040304,13.6
20040305,13.2
20040306,12.7
20040307,12.6
20040308,13.3
20040309,13.1
20040310,13.0
20040311,14.0
20040312,13.8
20040313,13.8
20040314,14.6
20040315,14.4
20040316,14.4
20040317,14.1
20040318,14.0
20040319,13.9
20040320,13.5
20040321,13.5
20040322,13.5
20040323,14.3
20040324,13.6
20040325,14.1
20040326,13.4
20040327,14.0
20040328,13.1
20040329,13.1
20040330,13.7
20040331,13.9
20040401,13.6
20040402,14.0
20040403,13.2
20040404,14.3
20040405,13.5
20040406,13.9
20040407,13.9
20040408,13.4
20040409,13.4
20040410,13.2
20040411,13.1
20040412,12.9
20040413,14.2
20040414,13.6
20040415,13.5
20040416,13.4
20040417,12.7
20040418,13.2
20040419,13.5
20040420,13.8
20040421,14.0
20040422,13.6
20040423,14.0
20040424,14.0
20040425,14.5
20040426,14.0
20040427,13.6
20040428,13.9
20040429,14.1
20040430,14.0
20040501,14.3
20040502,14.1
20040503,14.6
20040504,14.3
20040505,13.9
20040506,13.8
20040507,14.2
20040508,14.7
20040509,14.7
20040510,13.8
20040511,13.9
20040512,13.9
20040513,13.9
20040514,13.8
20040515,14.4
20040516,13.4
20040517,13.5
20040518,13.7
20040519,13.6
20040520,13.7
20040521,13.9
20040522,13.7
20040523,13.9
20040524,13.4
20040525,14.3
20040526,14.7
20040527,14.2
20040528,15.1
20040529,14.9
20040530,13.9
20040531,14.7
20040601,13.4
20040602,13.4
20040603,14.1
20040604,13.9
20040605,13.8
20040606,13.3
20040607,13.6
20040608,13.8
20040609,13.9
20040610,13.8
20040611,13.8
20040612,13.8
20040613,14.3
20040614,14.6
20040615,15.1
20040616,14.7
20040617,13.9
20040618,15.7
20040619,13.8
20040620,14.2
20040621,13.9
20040622,14.8
20040623,14.7
20040624,14.6
20040625,14.3
20040626,14.7
20040627,14.0
20040628,14.3
20040629,14.2
20040630,14.3
20040701,14.2
20040702,14.4
20040703,14.5
20040704,14.3
20040705,15.1
20040706,14.1
20040707,14.8
20040708,14.4
20040709,14.1
20040710,14.5
20040711,15.2
20040712,14.3
20040713,14.8
20040714,13.9
20040715,14.2
20040716,14.4
20040717,13.9
20040718,14.0
20040719,13.5
20040720,13.3
20040721,13.5
20040722,13.4
20040723,13.6
20040724,13.7
20040725,13.8
20040726,14.6
20040727,14.2
20040728,14.5
20040729,14.5
20040730,15.4
20040731,14.4
20040801,14.4
20040802,14.3
20040803,14.2
20040804,15.4
20040805,14.5
20040806,15.6
20040807,15.6
20040808,15.0
20040809,14.7
20040810,14.5
20040811,14.7
20040812,14.6
20040813,14.2
20040814,14.2
20040815,14.2
20040816,14.4
20040817,13.3
20040818,13.1
20040819,13.0
20040820,14.1
20040821,14.0
20040822,13.8
20040823,14.2
20040824,14.5
20040825,14.3
20040826,15.2
20040827,13.8
20040828,13.8
20040829,14.6
20040830,14.2
20040831,14.2
20040901,14.0
20040902,15.1
20040903,14.7
20040904,14.4
20040905,14.0
20040906,13.8
20040907,14.7
20040908,14.5
20040909,14.0
20040910,13.3
20040911,14.0
20040912,14.3
20040913,14.6
20040914,14.1
20040915,14.8
20040916,13.6
20040917,14.4
20040918,14.2
20040919,14.4
20040920,14.0
20040921,13.8
20040922,13.9
20040923,14.1
20040924,14.3
20040925,14.3
20040926,14.5
20040927,14.3
20040928,13.6
20040929,13.6
20040930,14.0
20041001,13.9
20041002,13.3
20041003,13.0
20041004,14.1
20041005,14.0
20041006,14.3
20041007,14.0
20041008,14.1
20041009,14.1
20041010,13.8
20041011,14.3
20041012,13.9
